pid,lot_frontage,lot_area,has_alley,is_lot_shape_regluar,is_land_countour_hls,is_land_slope_mod,overall_qual,mas_vnr_area,exter_qual_Ex_Gd,bsmt_qual_Ex_Gd,bsmt_cond_is_TA_Gd_Ex,has_bsmt_exposure,bsmt_unf_sf,total_bsmt_sf,is_heating_qc_Ex,has_central_air,electrical_is_SBrkr,1st_flr_sf,2nd_flr_sf,gr_liv_area,full_bath,bedroom_abvgr,kitchen_qual_Ex_Gd,totrms_abvgrd,is_functional,has_fireplace,fireplace_qu_Ex_Gd,garage_type_Attchd_BuiltIn,garage_cars,garage_area,garage_qual_Ex_Gd_TA,garage_cond_Ex_Gd_TA,is_fully_paved_drive,has_fence,has_misc_feature,saleprice,ms_subclass_group_1,ms_subclass_group_2,ms_zoning_RL,ms_zoning_FV,lot_config_Inside,lot_config_Corner,neighborhood_group_1,neighborhood_group_2,neighborhood_group_3,bldg_type_1Fam,bldg_type_TwnhsE,house_style_2Story,house_style_1Story,home_age,home_has_remodel,mas_vnr_type_Stone,mas_vnr_type_BrkFace,has_basement,roof_style_Gable,roof_style_Hip,exterior_has_VinylSd,exterior_has_MetalSd,exterior_has_HdBoard,exterior_has_Wd_Sdng,exterior_has_Plywood,foundation_PConc,foundation_CBlock,bsmt_GLQ_sf,bsmt_ALQ_sf,bsmt_BLQ_sf,bsmt_LwQ_sf,bsmt_Rec_sf,has_2nd_flr,total_full_baths,total_baths,garage_new_2006,has_garage,garage_finish_RFn,garage_finish_Unf,garage_finish_Fin,all_porch_sf,has_porch,sold_premium_month,yr_sold_2006,yr_sold_2007,yr_sold_2008,yr_sold_2009,sale_type_WD,sale_type_New
533352170,69.05520046484602,13517,0,0,0,0,6,289.0,1,0,1,0,192.0,725.0,1,1,1,725,754,1479,2,3,1,6,1,0,0,1,2.0,475.0,1,1,1,1,1,130500,0,1,1,0,0,0,1,0,0,1,0,1,0,34,0,0,1,1,1,0,0,0,1,0,1,0,1,533.0,0.0,0.0,0.0,0.0,1,2.0,3.0,0,1,1,0,0,44,1,0,0,0,0,0,0,0
531379050,43.0,11492,0,0,0,0,7,132.0,1,1,1,0,276.0,913.0,1,1,1,913,1209,2122,2,4,1,8,1,1,0,1,2.0,559.0,1,1,1,1,1,220000,0,1,1,0,0,0,0,1,0,1,0,1,0,14,0,0,1,1,1,0,1,0,0,0,0,1,0,637.0,0.0,0.0,0.0,0.0,1,3.0,4.0,0,1,1,0,0,74,1,0,0,0,0,1,0,0
535304180,68.0,7922,0,1,0,0,5,0.0,0,0,1,0,326.0,1057.0,0,1,1,1057,0,1057,1,3,1,5,1,0,0,0,1.0,246.0,1,1,1,1,1,109000,0,1,1,0,1,0,1,0,0,1,0,0,1,57,0,0,0,1,1,0,1,0,0,0,0,0,1,731.0,0.0,0.0,0.0,0.0,0,2.0,2.0,0,1,0,1,0,52,1,1,0,0,0,0,0,0
916386060,73.0,9802,0,1,0,0,5,0.0,0,1,1,0,384.0,384.0,0,1,1,744,700,1444,2,3,0,7,1,0,0,1,2.0,400.0,1,1,1,1,1,174000,0,1,1,0,1,0,0,1,0,1,0,1,0,4,0,0,0,1,1,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1,2.0,3.0,1,1,0,0,1,100,1,0,0,0,0,0,0,0
906425045,82.0,14235,0,0,0,0,6,0.0,0,0,1,0,676.0,676.0,0,1,1,831,614,1445,2,3,0,6,1,0,0,0,2.0,484.0,1,1,0,1,1,138500,1,0,1,0,1,0,0,1,0,1,0,0,0,110,0,0,0,1,1,0,0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,0,1,0,1,0,59,1,0,0,0,0,0,0,0
535126040,137.0,16492,0,0,0,0,6,0.0,1,0,1,0,557.0,1517.0,1,1,1,1888,0,1888,2,2,1,6,0,1,1,1,2.0,578.0,1,1,1,1,1,190000,0,1,1,0,0,1,1,0,0,1,0,0,1,44,0,0,0,1,1,0,0,0,0,0,1,0,1,0.0,247.0,0.0,0.0,713.0,0,2.0,3.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
908186070,35.0,3675,0,1,0,0,6,82.0,0,1,1,1,0.0,547.0,0,1,1,1072,0,1072,2,2,0,5,1,0,0,0,2.0,525.0,1,1,1,1,1,140000,1,0,0,0,1,0,1,0,0,0,1,0,0,5,0,0,1,1,1,0,1,0,0,0,0,1,0,547.0,0.0,0.0,0.0,0.0,0,3.0,3.0,0,1,0,0,1,44,1,1,1,0,0,0,0,1
535154050,69.05520046484602,12160,0,0,0,0,5,180.0,0,0,1,0,188.0,1188.0,0,1,1,1188,0,1188,1,3,0,6,1,0,0,1,2.0,531.0,1,1,1,0,1,142000,0,1,1,0,1,0,1,0,0,1,0,0,1,51,1,0,1,1,0,1,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,1000.0,0,2.0,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
535353130,69.05520046484602,15783,0,1,0,0,5,0.0,0,0,1,0,632.0,924.0,0,1,1,924,0,924,1,2,0,6,1,0,0,0,1.0,420.0,1,1,1,0,0,112500,0,1,1,0,1,0,1,0,0,1,0,0,1,58,1,0,0,1,1,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,292.0,0,1.0,1.0,0,1,0,1,0,324,1,1,0,1,0,0,0,0
535426130,70.0,11606,0,0,1,0,5,192.0,0,1,1,1,390.0,1040.0,0,1,1,1040,1040,2080,1,5,0,9,1,1,0,1,2.0,504.0,1,1,1,1,1,135000,0,1,1,0,1,0,1,0,0,1,0,1,0,41,1,0,1,1,1,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,650.0,1,1.0,4.0,0,1,0,1,0,335,1,1,0,1,0,0,0,0
